component_id,type,name,performance_level
42_CPU,CPU,Intel Core i7 12th Gen,Extreme
42_GPU,GPU,NVIDIA GeForce RTX 3060,Extreme
42_RAM,RAM,16 GB,Extreme
42_STORAGE,STORAGE,512.0 GB,Extreme
43_CPU,CPU,Intel Core i3 11th Gen,Low
43_GPU,GPU,Intel Integrated UHD,Low
43_RAM,RAM,8 GB,Low
43_STORAGE,STORAGE,256.0 GB,Low
44_CPU,CPU,Intel Core i5 11th Gen,High
44_GPU,GPU,NVIDIA GeForce RTX 3050,High
44_RAM,RAM,16 GB,High
44_STORAGE,STORAGE,512.0 GB,High
45_CPU,CPU,Intel Core i7 12th Gen,High
45_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
45_RAM,RAM,16 GB,High
45_STORAGE,STORAGE,1024.0 GB,High
46_CPU,CPU,Intel Core i7 12th Gen,High
46_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
46_RAM,RAM,16 GB,High
46_STORAGE,STORAGE,512.0 GB,High
47_CPU,CPU,Intel Core i5 11th Gen,High
47_GPU,GPU,NVIDIA GeForce RTX 3050,High
47_RAM,RAM,8 GB,High
47_STORAGE,STORAGE,512.0 GB,High
48_CPU,CPU,Intel Core i5 11th Gen,Low
48_GPU,GPU,Intel Integrated Iris Xe,Low
48_RAM,RAM,8 GB,Low
48_STORAGE,STORAGE,512.0 GB,Low
49_CPU,CPU,Intel Core i3 11th Gen,Low
49_GPU,GPU,Intel Integrated UHD,Low
49_RAM,RAM,8 GB,Low
49_STORAGE,STORAGE,1280.0 GB,Low
50_CPU,CPU,Intel Core i3 10th Gen,Low
50_GPU,GPU,Intel Integrated UHD,Low
50_RAM,RAM,8 GB,Low
50_STORAGE,STORAGE,1024.0 GB,Low
51_CPU,CPU,Intel Core i5 11th Gen,Low
51_GPU,GPU,Intel Integrated intel,Low
51_RAM,RAM,16 GB,Low
51_STORAGE,STORAGE,512.0 GB,Low
52_CPU,CPU,Intel Core i5 11th Gen,Low
52_GPU,GPU,NVIDIA GeForce MX450,Low
52_RAM,RAM,8 GB,Low
52_STORAGE,STORAGE,512.0 GB,Low
53_CPU,CPU,AMD Ryzen 7 Octa Core,Medium
53_GPU,GPU,AMD Radeon AMD,Medium
53_RAM,RAM,16 GB,Medium
53_STORAGE,STORAGE,512.0 GB,Medium
54_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
54_GPU,GPU,AMD Radeon AMD,Low
54_RAM,RAM,16 GB,Low
54_STORAGE,STORAGE,512.0 GB,Low
55_CPU,CPU,Intel Core i5 11th Gen,Medium
55_GPU,GPU,NVIDIA GeForce RTX RTX3050-4G,Medium
55_RAM,RAM,8 GB,Medium
55_STORAGE,STORAGE,1024.0 GB,Medium
56_CPU,CPU,Intel Celeron Dual Core,Low
56_GPU,GPU,Intel Integrated UHD Graphics 600,Low
56_RAM,RAM,4 GB,Low
56_STORAGE,STORAGE,256.0 GB,Low
57_CPU,CPU,Intel Celeron Dual Core,Low
57_GPU,GPU,Intel Integrated UHD Graphics 600,Low
57_RAM,RAM,4 GB,Low
57_STORAGE,STORAGE,128.0 GB,Low
58_CPU,CPU,Intel Core i5 11th Gen,Medium
58_GPU,GPU,NVIDIA GeForce GTX 1650,Medium
58_RAM,RAM,8 GB,Medium
58_STORAGE,STORAGE,512.0 GB,Medium
59_CPU,CPU,Intel Celeron Dual Core,Low
59_GPU,GPU,Intel Integrated UHD,Low
59_RAM,RAM,4 GB,Low
59_STORAGE,STORAGE,256.0 GB,Low
60_CPU,CPU,Intel Core i5 11th Gen,Low
60_GPU,GPU,Intel Integrated Iris Xe,Low
60_RAM,RAM,8 GB,Low
60_STORAGE,STORAGE,512.0 GB,Low
61_CPU,CPU,Intel Core i7 12th Gen,High
61_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
61_RAM,RAM,16 GB,High
61_STORAGE,STORAGE,1536.0 GB,High
62_CPU,CPU,AMD Ryzen 5 Hexa Core,Medium
62_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,Medium
62_RAM,RAM,8 GB,Medium
62_STORAGE,STORAGE,512.0 GB,Medium
63_CPU,CPU,Intel Core i7 12th Gen,High
63_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
63_RAM,RAM,16 GB,High
63_STORAGE,STORAGE,1024.0 GB,High
64_CPU,CPU,Intel Core i3 11th Gen,Low
64_GPU,GPU,Intel Integrated INTEL UHD,Low
64_RAM,RAM,8 GB,Low
64_STORAGE,STORAGE,512.0 GB,Low
65_CPU,CPU,AMD Ryzen 5 Quad Core 3rd Gen,Low
65_GPU,GPU,AMD Radeon,Low
65_RAM,RAM,8 GB,Low
65_STORAGE,STORAGE,512.0 GB,Low
66_CPU,CPU,Intel Pentium Quad Core,Low
66_GPU,GPU,Intel Integrated UHD,Low
66_RAM,RAM,8 GB,Low
66_STORAGE,STORAGE,256.0 GB,Low
67_CPU,CPU,Intel Core i5 11th Gen,Low
67_GPU,GPU,Intel Integrated INTEL HD,Low
67_RAM,RAM,8 GB,Low
67_STORAGE,STORAGE,1280.0 GB,Low
68_CPU,CPU,AMD Ryzen 7 Quad Core 10th Gen,Medium
68_GPU,GPU,AMD Radeon RTX3050- 4GB,Medium
68_RAM,RAM,16 GB,Medium
68_STORAGE,STORAGE,512.0 GB,Medium
69_CPU,CPU,AMD Ryzen 5 Quad Core,Low
69_GPU,GPU,AMD Radeon Intgrated,Low
69_RAM,RAM,16 GB,Low
69_STORAGE,STORAGE,512.0 GB,Low
70_CPU,CPU,Intel Core i5 11th Gen,Medium
70_GPU,GPU,NVIDIA GeForce RTX 3050Ti,Medium
70_RAM,RAM,16 GB,Medium
70_STORAGE,STORAGE,512.0 GB,Medium
71_CPU,CPU,Intel Core i7 12th Gen,High
71_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
71_RAM,RAM,16 GB,High
71_STORAGE,STORAGE,512.0 GB,High
72_CPU,CPU,Intel Core i9 12th Gen,Extreme
72_GPU,GPU,NVIDIA GeForce RTX 3070 Ti,Extreme
72_RAM,RAM,32 GB,Extreme
72_STORAGE,STORAGE,1024.0 GB,Extreme
73_CPU,CPU,Intel Core i9 12th Gen,Extreme
73_GPU,GPU,NVIDIA GeForce RTX 3070 Ti,Extreme
73_RAM,RAM,32 GB,Extreme
73_STORAGE,STORAGE,1024.0 GB,Extreme
74_CPU,CPU,AMD Ryzen 7 Octa Core,High
74_GPU,GPU,NVIDIA GeForce RTX 3050,High
74_RAM,RAM,16 GB,High
74_STORAGE,STORAGE,512.0 GB,High
75_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,High
75_GPU,GPU,NVIDIA GeForce RTX 3050,High
75_RAM,RAM,16 GB,High
75_STORAGE,STORAGE,512.0 GB,High
76_CPU,CPU,Intel Core i5 11th Gen,Low
76_GPU,GPU,Intel Integrated Intel,Low
76_RAM,RAM,16 GB,Low
76_STORAGE,STORAGE,512.0 GB,Low
77_CPU,CPU,Intel Core i7 11th Gen,Low
77_GPU,GPU,Intel Integrated Iris Xe Graphics,Low
77_RAM,RAM,16 GB,Low
77_STORAGE,STORAGE,512.0 GB,Low
78_CPU,CPU,Intel Celeron Dual Core,Low
78_GPU,GPU,Intel Integrated Intel HD,Low
78_RAM,RAM,4 GB,Low
78_STORAGE,STORAGE,256.0 GB,Low
79_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,Medium
79_GPU,GPU,AMD Radeon Integrated AMD Radeon Graphics,Medium
79_RAM,RAM,16 GB,Medium
79_STORAGE,STORAGE,1024.0 GB,Medium
80_CPU,CPU,Intel Core i5 10th Gen,Medium
80_GPU,GPU,NVIDIA GeForce GTX 1650,Medium
80_RAM,RAM,8 GB,Medium
80_STORAGE,STORAGE,1024.0 GB,Medium
81_CPU,CPU,Intel Pentium Silver,Low
81_GPU,GPU,Intel Integrated UHD Graphics,Low
81_RAM,RAM,8 GB,Low
81_STORAGE,STORAGE,256.0 GB,Low
82_CPU,CPU,AMD Athlon Dual Core,Low
82_GPU,GPU,AMD Radeon Radeon Graphics,Low
82_RAM,RAM,8 GB,Low
82_STORAGE,STORAGE,256.0 GB,Low
83_CPU,CPU,Intel Core i5 11th Gen,Medium
83_GPU,GPU,Intel Integrated Iris Xe,Medium
83_RAM,RAM,16 GB,Medium
83_STORAGE,STORAGE,512.0 GB,Medium
84_CPU,CPU,AMD Ryzen 7 Octa Core 5th Gen,Low
84_GPU,GPU,AMD Radeon Integrated AMD Radeon Graphics,Low
84_RAM,RAM,16 GB,Low
84_STORAGE,STORAGE,512.0 GB,Low
85_CPU,CPU,AMD Ryzen 7 Dual Core 7th Gen,Medium
85_GPU,GPU,NVIDIA GeForce RTX3050- 4GB,Medium
85_RAM,RAM,16 GB,Medium
85_STORAGE,STORAGE,1024.0 GB,Medium
86_CPU,CPU,AMD Ryzen 3 Quad Core 3rd Gen,Low
86_GPU,GPU,AMD Radeon amd redeon,Low
86_RAM,RAM,8 GB,Low
86_STORAGE,STORAGE,256.0 GB,Low
87_CPU,CPU,AMD Ryzen 9 Octa Core 5th Gen,High
87_GPU,GPU,NVIDIA GeForce GTX 1650,High
87_RAM,RAM,32 GB,High
87_STORAGE,STORAGE,1024.0 GB,High
88_CPU,CPU,Intel Core i7 11th Gen,High
88_GPU,GPU,NVIDIA GeForce RTX 3070,High
88_RAM,RAM,16 GB,High
88_STORAGE,STORAGE,1024.0 GB,High
89_CPU,CPU,Intel Core i3 11th Gen,Low
89_GPU,GPU,Intel Integrated Intel® UHD Graphics,Low
89_RAM,RAM,8 GB,Low
89_STORAGE,STORAGE,256.0 GB,Low
90_CPU,CPU,Intel Core i5 11th Gen,Low
90_GPU,GPU,Intel Integrated Iris Xe,Low
90_RAM,RAM,16 GB,Low
90_STORAGE,STORAGE,512.0 GB,Low
91_CPU,CPU,Intel Core i5 11th Gen,Low
91_GPU,GPU,Intel Integrated Iris Xe,Low
91_RAM,RAM,16 GB,Low
91_STORAGE,STORAGE,512.0 GB,Low
92_CPU,CPU,Intel Core i5 11th Gen,Low
92_GPU,GPU,Intel Integrated Iris Xe,Low
92_RAM,RAM,16 GB,Low
92_STORAGE,STORAGE,512.0 GB,Low
93_CPU,CPU,Intel Core i7 11th Gen,High
93_GPU,GPU,NVIDIA GeForce RTX 3050 Ti,High
93_RAM,RAM,16 GB,High
93_STORAGE,STORAGE,512.0 GB,High
94_CPU,CPU,AMD Ryzen 5 Hexa Core,High
94_GPU,GPU,NVIDIA GeForce RTX 3050,High
94_RAM,RAM,8 GB,High
94_STORAGE,STORAGE,512.0 GB,High
95_CPU,CPU,Intel Celeron Dual Core,Low
95_GPU,GPU,Intel Integrated UHD Graphics,Low
95_RAM,RAM,4 GB,Low
95_STORAGE,STORAGE,128.0 GB,Low
96_CPU,CPU,AMD Ryzen 7 Octa Core,High
96_GPU,GPU,NVIDIA GeForce RTX 3050,High
96_RAM,RAM,16 GB,High
96_STORAGE,STORAGE,512.0 GB,High
97_CPU,CPU,Intel Core i3 11th Gen,Low
97_GPU,GPU,Intel Integrated UHD Graphics,Low
97_RAM,RAM,8 GB,Low
97_STORAGE,STORAGE,512.0 GB,Low
98_CPU,CPU,AMD Ryzen 5 Hexa Core,High
98_GPU,GPU,NVIDIA GeForce RTX 3050,High
98_RAM,RAM,16 GB,High
98_STORAGE,STORAGE,512.0 GB,High
99_CPU,CPU,AMD Ryzen 5 Quad Core,Low
99_GPU,GPU,AMD Radeon Vega 8,Low
99_RAM,RAM,8 GB,Low
99_STORAGE,STORAGE,512.0 GB,Low
100_CPU,CPU,Intel Core i3 11th Gen,Low
100_GPU,GPU,Intel Integrated UHD Graphics,Low
100_RAM,RAM,8 GB,Low
100_STORAGE,STORAGE,256.0 GB,Low
101_CPU,CPU,Intel Core i5 10th Gen,Low
101_GPU,GPU,Intel Integrated UHD,Low
101_RAM,RAM,8 GB,Low
101_STORAGE,STORAGE,1024.0 GB,Low
102_CPU,CPU,Intel Celeron Dual Core,Low
102_GPU,GPU,Intel Integrated UHD Graphics,Low
102_RAM,RAM,4 GB,Low
102_STORAGE,STORAGE,128.0 GB,Low
103_CPU,CPU,Intel Celeron Dual Core,Low
103_GPU,GPU,Intel Integrated UHD Graphics,Low
103_RAM,RAM,4 GB,Low
103_STORAGE,STORAGE,128.0 GB,Low
104_CPU,CPU,AMD Ryzen 7 Octa Core,Medium
104_GPU,GPU,AMD Radeon Radeon Graphics,Medium
104_RAM,RAM,16 GB,Medium
104_STORAGE,STORAGE,512.0 GB,Medium
105_CPU,CPU,Intel Core i5 11th Gen,Low
105_GPU,GPU,Intel Integrated Iris Xe Graphics,Low
105_RAM,RAM,8 GB,Low
105_STORAGE,STORAGE,512.0 GB,Low
106_CPU,CPU,AMD Ryzen 7 Octa Core,Medium
106_GPU,GPU,AMD Radeon Radeon Graphics,Medium
106_RAM,RAM,16 GB,Medium
106_STORAGE,STORAGE,512.0 GB,Medium
107_CPU,CPU,Intel Celeron Quad Core,Low
107_GPU,GPU,Intel Integrated UHD,Low
107_RAM,RAM,4 GB,Low
107_STORAGE,STORAGE,256.0 GB,Low
108_CPU,CPU,Intel Core i3 11th Gen,Low
108_GPU,GPU,Intel Integrated UHD Graphics,Low
108_RAM,RAM,8 GB,Low
108_STORAGE,STORAGE,512.0 GB,Low
109_CPU,CPU,Intel Core i3 10th Gen,Low
109_GPU,GPU,Intel Integrated UHD,Low
109_RAM,RAM,8 GB,Low
109_STORAGE,STORAGE,512.0 GB,Low
110_CPU,CPU,AMD Ryzen 7 Quad Core,Low
110_GPU,GPU,AMD Radeon RX Vega 10,Low
110_RAM,RAM,16 GB,Low
110_STORAGE,STORAGE,512.0 GB,Low
111_CPU,CPU,Intel Core i3 11th Gen,Low
111_GPU,GPU,Intel Integrated UHD,Low
111_RAM,RAM,8 GB,Low
111_STORAGE,STORAGE,1024.0 GB,Low
112_CPU,CPU,Intel Core i3 11th Gen,Low
112_GPU,GPU,Intel Integrated UHD,Low
112_RAM,RAM,8 GB,Low
112_STORAGE,STORAGE,1280.0 GB,Low
113_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
113_GPU,GPU,AMD Radeon Radeon Graphics,Low
113_RAM,RAM,8 GB,Low
113_STORAGE,STORAGE,512.0 GB,Low
114_CPU,CPU,Intel Core i9 11th Gen,Extreme
114_GPU,GPU,NVIDIA GeForce RTX 3060,Extreme
114_RAM,RAM,32 GB,Extreme
114_STORAGE,STORAGE,1024.0 GB,Extreme
115_CPU,CPU,Intel Celeron Quad Core,Low
115_GPU,GPU,Intel Integrated UHD Graphics,Low
115_RAM,RAM,4 GB,Low
115_STORAGE,STORAGE,nan GB,Low
116_CPU,CPU,Intel Celeron Dual Core,Low
116_GPU,GPU,Intel Integrated UHD Graphics,Low
116_RAM,RAM,4 GB,Low
116_STORAGE,STORAGE,nan GB,Low
117_CPU,CPU,Intel Core i7 11th Gen,High
117_GPU,GPU,NVIDIA GeForce RTX RTX 3050,High
117_RAM,RAM,16 GB,High
117_STORAGE,STORAGE,1024.0 GB,High
118_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
118_GPU,GPU,AMD Radeon Radeon Graphics,Low
118_RAM,RAM,8 GB,Low
118_STORAGE,STORAGE,512.0 GB,Low
119_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
119_GPU,GPU,AMD Radeon Radeon Graphics,Low
119_RAM,RAM,8 GB,Low
119_STORAGE,STORAGE,512.0 GB,Low
120_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
120_GPU,GPU,AMD Radeon Radeon Graphics,Low
120_RAM,RAM,8 GB,Low
120_STORAGE,STORAGE,512.0 GB,Low
121_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
121_GPU,GPU,AMD Radeon Radeon Graphics,Low
121_RAM,RAM,8 GB,Low
121_STORAGE,STORAGE,512.0 GB,Low
122_CPU,CPU,Intel Core i7 11th Gen,High
122_GPU,GPU,NVIDIA GeForce RTX RTX 3050,High
122_RAM,RAM,16 GB,High
122_STORAGE,STORAGE,1024.0 GB,High
123_CPU,CPU,Intel Core i3 11th Gen,Low
123_GPU,GPU,Intel Integrated Intel UHD Graphics,Low
123_RAM,RAM,8 GB,Low
123_STORAGE,STORAGE,512.0 GB,Low
124_CPU,CPU,AMD Ryzen 7 Quad Core,Low
124_GPU,GPU,AMD Radeon Radeon RX Vega 10 Graphics,Low
124_RAM,RAM,16 GB,Low
124_STORAGE,STORAGE,512.0 GB,Low
125_CPU,CPU,Intel Core i3 11th Gen,Low
125_GPU,GPU,Intel Integrated HD,Low
125_RAM,RAM,4 GB,Low
125_STORAGE,STORAGE,256.0 GB,Low
126_CPU,CPU,Intel Core i5 11th Gen,Medium
126_GPU,GPU,NVIDIA GeForce RTX 3050,Medium
126_RAM,RAM,8 GB,Medium
126_STORAGE,STORAGE,512.0 GB,Medium
127_CPU,CPU,Intel Core i3 11th Gen,Low
127_GPU,GPU,Intel Integrated UHD,Low
127_RAM,RAM,8 GB,Low
127_STORAGE,STORAGE,512.0 GB,Low
128_CPU,CPU,Qualcomm Snapdragon 7c Gen 2,Low
128_GPU,GPU,Qualcomm Adreno Adreno 618 GPU,Low
128_RAM,RAM,8 GB,Low
128_STORAGE,STORAGE,nan GB,Low
129_CPU,CPU,AMD Ryzen 7 Octa Core,High
129_GPU,GPU,NVIDIA GeForce GTX 1650,High
129_RAM,RAM,16 GB,High
129_STORAGE,STORAGE,512.0 GB,High
130_CPU,CPU,AMD Ryzen 5 Hexa Core,Medium
130_GPU,GPU,NVIDIA GeForce RTX 3050,Medium
130_RAM,RAM,8 GB,Medium
130_STORAGE,STORAGE,512.0 GB,Medium
131_CPU,CPU,Intel Core i3 11th Gen,Low
131_GPU,GPU,Intel Integrated UHD,Low
131_RAM,RAM,8 GB,Low
131_STORAGE,STORAGE,512.0 GB,Low
132_CPU,CPU,Intel Celeron Dual Core,Low
132_GPU,GPU,Intel Integrated UHD,Low
132_RAM,RAM,4 GB,Low
132_STORAGE,STORAGE,256.0 GB,Low
133_CPU,CPU,Intel Core i7 11th Gen,Low
133_GPU,GPU,Intel Integrated Iris Xe Graphics,Low
133_RAM,RAM,16 GB,Low
133_STORAGE,STORAGE,512.0 GB,Low
134_CPU,CPU,AMD Ryzen 5 Hexa Core,Low
134_GPU,GPU,AMD Radeon AMD,Low
134_RAM,RAM,8 GB,Low
134_STORAGE,STORAGE,512.0 GB,Low
135_CPU,CPU,Intel Core i3 11th Gen,Low
135_GPU,GPU,Intel Integrated UHD,Low
135_RAM,RAM,8 GB,Low
135_STORAGE,STORAGE,512.0 GB,Low
136_CPU,CPU,Intel Core i5 11th Gen,Low
136_GPU,GPU,Intel Integrated Iris Xe Graphics,Low
136_RAM,RAM,16 GB,Low
136_STORAGE,STORAGE,512.0 GB,Low
137_CPU,CPU,Intel Core i7 11th Gen,Low
137_GPU,GPU,Intel Integrated Iris Xe,Low
137_RAM,RAM,16 GB,Low
137_STORAGE,STORAGE,512.0 GB,Low
138_CPU,CPU,AMD Ryzen 5 Dual Core,Low
138_GPU,GPU,AMD Radeon Vega Graphics,Low
138_RAM,RAM,8 GB,Low
138_STORAGE,STORAGE,512.0 GB,Low
