from_id,from_label,to_id,to_label,type
7,Laptop,LENOVO,Brand,BELONGS_TO
7,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
7,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
7,Laptop,7_CPU,Component,HAS_COMPONENT
7,Laptop,7_GPU,Component,HAS_COMPONENT
7,Laptop,7_RAM,Component,HAS_COMPONENT
7,Laptop,7_STORAGE,Component,HAS_COMPONENT
8,Laptop,ASUS,Brand,BELONGS_TO
8,Laptop,GAMING,Usage,SUITABLE_FOR
8,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
8,Laptop,8_CPU,Component,HAS_COMPONENT
8,Laptop,8_GPU,Component,HAS_COMPONENT
8,Laptop,8_RAM,Component,HAS_COMPONENT
8,Laptop,8_STORAGE,Component,HAS_COMPONENT
9,Laptop,DELL,Brand,BELONGS_TO
9,Laptop,ETUDES,Usage,SUITABLE_FOR
9,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
9,Laptop,9_CPU,Component,HAS_COMPONENT
9,Laptop,9_GPU,Component,HAS_COMPONENT
9,Laptop,9_RAM,Component,HAS_COMPONENT
9,Laptop,9_STORAGE,Component,HAS_COMPONENT
10,Laptop,DELL,Brand,BELONGS_TO
10,Laptop,ETUDES,Usage,SUITABLE_FOR
10,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
10,Laptop,10_CPU,Component,HAS_COMPONENT
10,Laptop,10_GPU,Component,HAS_COMPONENT
10,Laptop,10_RAM,Component,HAS_COMPONENT
10,Laptop,10_STORAGE,Component,HAS_COMPONENT
11,Laptop,DELL,Brand,BELONGS_TO
11,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
11,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
11,Laptop,11_CPU,Component,HAS_COMPONENT
11,Laptop,11_GPU,Component,HAS_COMPONENT
11,Laptop,11_RAM,Component,HAS_COMPONENT
11,Laptop,11_STORAGE,Component,HAS_COMPONENT
12,Laptop,LENOVO,Brand,BELONGS_TO
12,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
12,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
12,Laptop,12_CPU,Component,HAS_COMPONENT
12,Laptop,12_GPU,Component,HAS_COMPONENT
12,Laptop,12_RAM,Component,HAS_COMPONENT
12,Laptop,12_STORAGE,Component,HAS_COMPONENT
13,Laptop,ASUS,Brand,BELONGS_TO
13,Laptop,GAMING,Usage,SUITABLE_FOR
13,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
13,Laptop,13_CPU,Component,HAS_COMPONENT
13,Laptop,13_GPU,Component,HAS_COMPONENT
13,Laptop,13_RAM,Component,HAS_COMPONENT
13,Laptop,13_STORAGE,Component,HAS_COMPONENT
14,Laptop,ASUS,Brand,BELONGS_TO
14,Laptop,ETUDES,Usage,SUITABLE_FOR
14,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
14,Laptop,14_CPU,Component,HAS_COMPONENT
14,Laptop,14_GPU,Component,HAS_COMPONENT
14,Laptop,14_RAM,Component,HAS_COMPONENT
14,Laptop,14_STORAGE,Component,HAS_COMPONENT
15,Laptop,ASUS,Brand,BELONGS_TO
15,Laptop,GAMING,Usage,SUITABLE_FOR
15,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
15,Laptop,15_CPU,Component,HAS_COMPONENT
15,Laptop,15_GPU,Component,HAS_COMPONENT
15,Laptop,15_RAM,Component,HAS_COMPONENT
15,Laptop,15_STORAGE,Component,HAS_COMPONENT
16,Laptop,MSI,Brand,BELONGS_TO
16,Laptop,GAMING,Usage,SUITABLE_FOR
16,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
16,Laptop,16_CPU,Component,HAS_COMPONENT
16,Laptop,16_GPU,Component,HAS_COMPONENT
16,Laptop,16_RAM,Component,HAS_COMPONENT
16,Laptop,16_STORAGE,Component,HAS_COMPONENT
17,Laptop,ASUS,Brand,BELONGS_TO
17,Laptop,ETUDES,Usage,SUITABLE_FOR
17,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
17,Laptop,17_CPU,Component,HAS_COMPONENT
17,Laptop,17_GPU,Component,HAS_COMPONENT
17,Laptop,17_RAM,Component,HAS_COMPONENT
17,Laptop,17_STORAGE,Component,HAS_COMPONENT
18,Laptop,REALME,Brand,BELONGS_TO
18,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
18,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
18,Laptop,18_CPU,Component,HAS_COMPONENT
18,Laptop,18_GPU,Component,HAS_COMPONENT
18,Laptop,18_RAM,Component,HAS_COMPONENT
18,Laptop,18_STORAGE,Component,HAS_COMPONENT
19,Laptop,REALME,Brand,BELONGS_TO
19,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
19,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
19,Laptop,19_CPU,Component,HAS_COMPONENT
19,Laptop,19_GPU,Component,HAS_COMPONENT
19,Laptop,19_RAM,Component,HAS_COMPONENT
19,Laptop,19_STORAGE,Component,HAS_COMPONENT
20,Laptop,REALME,Brand,BELONGS_TO
20,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
20,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
20,Laptop,20_CPU,Component,HAS_COMPONENT
20,Laptop,20_GPU,Component,HAS_COMPONENT
20,Laptop,20_RAM,Component,HAS_COMPONENT
20,Laptop,20_STORAGE,Component,HAS_COMPONENT
21,Laptop,DELL,Brand,BELONGS_TO
21,Laptop,GAMING,Usage,SUITABLE_FOR
21,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
21,Laptop,21_CPU,Component,HAS_COMPONENT
21,Laptop,21_GPU,Component,HAS_COMPONENT
21,Laptop,21_RAM,Component,HAS_COMPONENT
21,Laptop,21_STORAGE,Component,HAS_COMPONENT
22,Laptop,DELL,Brand,BELONGS_TO
22,Laptop,GAMING,Usage,SUITABLE_FOR
22,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
22,Laptop,22_CPU,Component,HAS_COMPONENT
22,Laptop,22_GPU,Component,HAS_COMPONENT
22,Laptop,22_RAM,Component,HAS_COMPONENT
22,Laptop,22_STORAGE,Component,HAS_COMPONENT
23,Laptop,AVITA,Brand,BELONGS_TO
23,Laptop,ETUDES,Usage,SUITABLE_FOR
23,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
23,Laptop,23_CPU,Component,HAS_COMPONENT
23,Laptop,23_GPU,Component,HAS_COMPONENT
23,Laptop,23_RAM,Component,HAS_COMPONENT
23,Laptop,23_STORAGE,Component,HAS_COMPONENT
24,Laptop,ASUS,Brand,BELONGS_TO
24,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
24,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
24,Laptop,24_CPU,Component,HAS_COMPONENT
24,Laptop,24_GPU,Component,HAS_COMPONENT
24,Laptop,24_RAM,Component,HAS_COMPONENT
24,Laptop,24_STORAGE,Component,HAS_COMPONENT
25,Laptop,ASUS,Brand,BELONGS_TO
25,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
25,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
25,Laptop,25_CPU,Component,HAS_COMPONENT
25,Laptop,25_GPU,Component,HAS_COMPONENT
25,Laptop,25_RAM,Component,HAS_COMPONENT
25,Laptop,25_STORAGE,Component,HAS_COMPONENT
26,Laptop,ASUS,Brand,BELONGS_TO
26,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
26,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
26,Laptop,26_CPU,Component,HAS_COMPONENT
26,Laptop,26_GPU,Component,HAS_COMPONENT
26,Laptop,26_RAM,Component,HAS_COMPONENT
26,Laptop,26_STORAGE,Component,HAS_COMPONENT
27,Laptop,ASUS,Brand,BELONGS_TO
27,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
27,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
27,Laptop,27_CPU,Component,HAS_COMPONENT
27,Laptop,27_GPU,Component,HAS_COMPONENT
27,Laptop,27_RAM,Component,HAS_COMPONENT
27,Laptop,27_STORAGE,Component,HAS_COMPONENT
28,Laptop,ASUS,Brand,BELONGS_TO
28,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
28,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
28,Laptop,28_CPU,Component,HAS_COMPONENT
28,Laptop,28_GPU,Component,HAS_COMPONENT
28,Laptop,28_RAM,Component,HAS_COMPONENT
28,Laptop,28_STORAGE,Component,HAS_COMPONENT
29,Laptop,ASUS,Brand,BELONGS_TO
29,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
29,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
29,Laptop,29_CPU,Component,HAS_COMPONENT
29,Laptop,29_GPU,Component,HAS_COMPONENT
29,Laptop,29_RAM,Component,HAS_COMPONENT
29,Laptop,29_STORAGE,Component,HAS_COMPONENT
30,Laptop,ASUS,Brand,BELONGS_TO
30,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
30,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
30,Laptop,30_CPU,Component,HAS_COMPONENT
30,Laptop,30_GPU,Component,HAS_COMPONENT
30,Laptop,30_RAM,Component,HAS_COMPONENT
30,Laptop,30_STORAGE,Component,HAS_COMPONENT
31,Laptop,ASUS,Brand,BELONGS_TO
31,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
31,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
31,Laptop,31_CPU,Component,HAS_COMPONENT
31,Laptop,31_GPU,Component,HAS_COMPONENT
31,Laptop,31_RAM,Component,HAS_COMPONENT
31,Laptop,31_STORAGE,Component,HAS_COMPONENT
32,Laptop,DELL,Brand,BELONGS_TO
32,Laptop,ETUDES,Usage,SUITABLE_FOR
32,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
32,Laptop,32_CPU,Component,HAS_COMPONENT
32,Laptop,32_GPU,Component,HAS_COMPONENT
32,Laptop,32_RAM,Component,HAS_COMPONENT
32,Laptop,32_STORAGE,Component,HAS_COMPONENT
33,Laptop,ASUS,Brand,BELONGS_TO
33,Laptop,GAMING,Usage,SUITABLE_FOR
33,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
33,Laptop,33_CPU,Component,HAS_COMPONENT
33,Laptop,33_GPU,Component,HAS_COMPONENT
33,Laptop,33_RAM,Component,HAS_COMPONENT
33,Laptop,33_STORAGE,Component,HAS_COMPONENT
34,Laptop,ASUS,Brand,BELONGS_TO
34,Laptop,GAMING,Usage,SUITABLE_FOR
34,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
34,Laptop,34_CPU,Component,HAS_COMPONENT
34,Laptop,34_GPU,Component,HAS_COMPONENT
34,Laptop,34_RAM,Component,HAS_COMPONENT
34,Laptop,34_STORAGE,Component,HAS_COMPONENT
35,Laptop,ASUS,Brand,BELONGS_TO
35,Laptop,ETUDES,Usage,SUITABLE_FOR
35,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
35,Laptop,35_CPU,Component,HAS_COMPONENT
35,Laptop,35_GPU,Component,HAS_COMPONENT
35,Laptop,35_RAM,Component,HAS_COMPONENT
35,Laptop,35_STORAGE,Component,HAS_COMPONENT
36,Laptop,ASUS,Brand,BELONGS_TO
36,Laptop,ETUDES,Usage,SUITABLE_FOR
36,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
36,Laptop,36_CPU,Component,HAS_COMPONENT
36,Laptop,36_GPU,Component,HAS_COMPONENT
36,Laptop,36_RAM,Component,HAS_COMPONENT
36,Laptop,36_STORAGE,Component,HAS_COMPONENT
37,Laptop,ASUS,Brand,BELONGS_TO
37,Laptop,GAMING,Usage,SUITABLE_FOR
37,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
37,Laptop,37_CPU,Component,HAS_COMPONENT
37,Laptop,37_GPU,Component,HAS_COMPONENT
37,Laptop,37_RAM,Component,HAS_COMPONENT
37,Laptop,37_STORAGE,Component,HAS_COMPONENT
38,Laptop,ASUS,Brand,BELONGS_TO
38,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
38,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
38,Laptop,38_CPU,Component,HAS_COMPONENT
38,Laptop,38_GPU,Component,HAS_COMPONENT
38,Laptop,38_RAM,Component,HAS_COMPONENT
38,Laptop,38_STORAGE,Component,HAS_COMPONENT
39,Laptop,ASUS,Brand,BELONGS_TO
39,Laptop,ETUDES,Usage,SUITABLE_FOR
39,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
39,Laptop,39_CPU,Component,HAS_COMPONENT
39,Laptop,39_GPU,Component,HAS_COMPONENT
39,Laptop,39_RAM,Component,HAS_COMPONENT
39,Laptop,39_STORAGE,Component,HAS_COMPONENT
40,Laptop,DELL,Brand,BELONGS_TO
40,Laptop,GRAPHISME,Usage,SUITABLE_FOR
40,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
40,Laptop,40_CPU,Component,HAS_COMPONENT
40,Laptop,40_GPU,Component,HAS_COMPONENT
40,Laptop,40_RAM,Component,HAS_COMPONENT
40,Laptop,40_STORAGE,Component,HAS_COMPONENT
41,Laptop,DELL,Brand,BELONGS_TO
41,Laptop,GAMING,Usage,SUITABLE_FOR
41,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
41,Laptop,41_CPU,Component,HAS_COMPONENT
41,Laptop,41_GPU,Component,HAS_COMPONENT
41,Laptop,41_RAM,Component,HAS_COMPONENT
41,Laptop,41_STORAGE,Component,HAS_COMPONENT
42,Laptop,DELL,Brand,BELONGS_TO
42,Laptop,GAMING,Usage,SUITABLE_FOR
42,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
42,Laptop,42_CPU,Component,HAS_COMPONENT
42,Laptop,42_GPU,Component,HAS_COMPONENT
42,Laptop,42_RAM,Component,HAS_COMPONENT
42,Laptop,42_STORAGE,Component,HAS_COMPONENT
43,Laptop,ASUS,Brand,BELONGS_TO
43,Laptop,ETUDES,Usage,SUITABLE_FOR
43,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
43,Laptop,43_CPU,Component,HAS_COMPONENT
43,Laptop,43_GPU,Component,HAS_COMPONENT
43,Laptop,43_RAM,Component,HAS_COMPONENT
43,Laptop,43_STORAGE,Component,HAS_COMPONENT
44,Laptop,DELL,Brand,BELONGS_TO
44,Laptop,GAMING,Usage,SUITABLE_FOR
44,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
44,Laptop,44_CPU,Component,HAS_COMPONENT
44,Laptop,44_GPU,Component,HAS_COMPONENT
44,Laptop,44_RAM,Component,HAS_COMPONENT
44,Laptop,44_STORAGE,Component,HAS_COMPONENT
45,Laptop,DELL,Brand,BELONGS_TO
45,Laptop,GAMING,Usage,SUITABLE_FOR
45,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
45,Laptop,45_CPU,Component,HAS_COMPONENT
45,Laptop,45_GPU,Component,HAS_COMPONENT
45,Laptop,45_RAM,Component,HAS_COMPONENT
45,Laptop,45_STORAGE,Component,HAS_COMPONENT
46,Laptop,DELL,Brand,BELONGS_TO
46,Laptop,GAMING,Usage,SUITABLE_FOR
46,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
46,Laptop,46_CPU,Component,HAS_COMPONENT
46,Laptop,46_GPU,Component,HAS_COMPONENT
46,Laptop,46_RAM,Component,HAS_COMPONENT
46,Laptop,46_STORAGE,Component,HAS_COMPONENT
47,Laptop,DELL,Brand,BELONGS_TO
47,Laptop,GAMING,Usage,SUITABLE_FOR
47,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
47,Laptop,47_CPU,Component,HAS_COMPONENT
47,Laptop,47_GPU,Component,HAS_COMPONENT
47,Laptop,47_RAM,Component,HAS_COMPONENT
47,Laptop,47_STORAGE,Component,HAS_COMPONENT
48,Laptop,ACER,Brand,BELONGS_TO
48,Laptop,ETUDES,Usage,SUITABLE_FOR
48,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
48,Laptop,48_CPU,Component,HAS_COMPONENT
48,Laptop,48_GPU,Component,HAS_COMPONENT
48,Laptop,48_RAM,Component,HAS_COMPONENT
48,Laptop,48_STORAGE,Component,HAS_COMPONENT
49,Laptop,ASUS,Brand,BELONGS_TO
49,Laptop,ETUDES,Usage,SUITABLE_FOR
49,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
49,Laptop,49_CPU,Component,HAS_COMPONENT
49,Laptop,49_GPU,Component,HAS_COMPONENT
49,Laptop,49_RAM,Component,HAS_COMPONENT
49,Laptop,49_STORAGE,Component,HAS_COMPONENT
50,Laptop,ASUS,Brand,BELONGS_TO
50,Laptop,ETUDES,Usage,SUITABLE_FOR
50,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
50,Laptop,50_CPU,Component,HAS_COMPONENT
50,Laptop,50_GPU,Component,HAS_COMPONENT
50,Laptop,50_RAM,Component,HAS_COMPONENT
50,Laptop,50_STORAGE,Component,HAS_COMPONENT
51,Laptop,ASUS,Brand,BELONGS_TO
51,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
51,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
51,Laptop,51_CPU,Component,HAS_COMPONENT
51,Laptop,51_GPU,Component,HAS_COMPONENT
51,Laptop,51_RAM,Component,HAS_COMPONENT
51,Laptop,51_STORAGE,Component,HAS_COMPONENT
52,Laptop,HP,Brand,BELONGS_TO
52,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
52,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
52,Laptop,52_CPU,Component,HAS_COMPONENT
52,Laptop,52_GPU,Component,HAS_COMPONENT
52,Laptop,52_RAM,Component,HAS_COMPONENT
52,Laptop,52_STORAGE,Component,HAS_COMPONENT
53,Laptop,HP,Brand,BELONGS_TO
53,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
53,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
53,Laptop,53_CPU,Component,HAS_COMPONENT
53,Laptop,53_GPU,Component,HAS_COMPONENT
53,Laptop,53_RAM,Component,HAS_COMPONENT
53,Laptop,53_STORAGE,Component,HAS_COMPONENT
54,Laptop,HP,Brand,BELONGS_TO
54,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
54,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
54,Laptop,54_CPU,Component,HAS_COMPONENT
54,Laptop,54_GPU,Component,HAS_COMPONENT
54,Laptop,54_RAM,Component,HAS_COMPONENT
54,Laptop,54_STORAGE,Component,HAS_COMPONENT
55,Laptop,ASUS,Brand,BELONGS_TO
55,Laptop,GAMING,Usage,SUITABLE_FOR
55,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
55,Laptop,55_CPU,Component,HAS_COMPONENT
55,Laptop,55_GPU,Component,HAS_COMPONENT
55,Laptop,55_RAM,Component,HAS_COMPONENT
55,Laptop,55_STORAGE,Component,HAS_COMPONENT
56,Laptop,ACER,Brand,BELONGS_TO
56,Laptop,ETUDES,Usage,SUITABLE_FOR
56,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
56,Laptop,56_CPU,Component,HAS_COMPONENT
56,Laptop,56_GPU,Component,HAS_COMPONENT
56,Laptop,56_RAM,Component,HAS_COMPONENT
56,Laptop,56_STORAGE,Component,HAS_COMPONENT
57,Laptop,ACER,Brand,BELONGS_TO
57,Laptop,ETUDES,Usage,SUITABLE_FOR
57,Laptop,eco_A,Eco_Class,HAS_ECO_CLASS
57,Laptop,57_CPU,Component,HAS_COMPONENT
57,Laptop,57_GPU,Component,HAS_COMPONENT
57,Laptop,57_RAM,Component,HAS_COMPONENT
57,Laptop,57_STORAGE,Component,HAS_COMPONENT
58,Laptop,ACER,Brand,BELONGS_TO
58,Laptop,GAMING,Usage,SUITABLE_FOR
58,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
58,Laptop,58_CPU,Component,HAS_COMPONENT
58,Laptop,58_GPU,Component,HAS_COMPONENT
58,Laptop,58_RAM,Component,HAS_COMPONENT
58,Laptop,58_STORAGE,Component,HAS_COMPONENT
59,Laptop,ASUS,Brand,BELONGS_TO
59,Laptop,ETUDES,Usage,SUITABLE_FOR
59,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
59,Laptop,59_CPU,Component,HAS_COMPONENT
59,Laptop,59_GPU,Component,HAS_COMPONENT
59,Laptop,59_RAM,Component,HAS_COMPONENT
59,Laptop,59_STORAGE,Component,HAS_COMPONENT
60,Laptop,ACER,Brand,BELONGS_TO
60,Laptop,ETUDES,Usage,SUITABLE_FOR
60,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
60,Laptop,60_CPU,Component,HAS_COMPONENT
60,Laptop,60_GPU,Component,HAS_COMPONENT
60,Laptop,60_RAM,Component,HAS_COMPONENT
60,Laptop,60_STORAGE,Component,HAS_COMPONENT
61,Laptop,ACER,Brand,BELONGS_TO
61,Laptop,GAMING,Usage,SUITABLE_FOR
61,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
61,Laptop,61_CPU,Component,HAS_COMPONENT
61,Laptop,61_GPU,Component,HAS_COMPONENT
61,Laptop,61_RAM,Component,HAS_COMPONENT
61,Laptop,61_STORAGE,Component,HAS_COMPONENT
62,Laptop,HP,Brand,BELONGS_TO
62,Laptop,GAMING,Usage,SUITABLE_FOR
62,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
62,Laptop,62_CPU,Component,HAS_COMPONENT
62,Laptop,62_GPU,Component,HAS_COMPONENT
62,Laptop,62_RAM,Component,HAS_COMPONENT
62,Laptop,62_STORAGE,Component,HAS_COMPONENT
63,Laptop,HP,Brand,BELONGS_TO
63,Laptop,GAMING,Usage,SUITABLE_FOR
63,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
63,Laptop,63_CPU,Component,HAS_COMPONENT
63,Laptop,63_GPU,Component,HAS_COMPONENT
63,Laptop,63_RAM,Component,HAS_COMPONENT
63,Laptop,63_STORAGE,Component,HAS_COMPONENT
64,Laptop,LENOVO,Brand,BELONGS_TO
64,Laptop,ETUDES,Usage,SUITABLE_FOR
64,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
64,Laptop,64_CPU,Component,HAS_COMPONENT
64,Laptop,64_GPU,Component,HAS_COMPONENT
64,Laptop,64_RAM,Component,HAS_COMPONENT
64,Laptop,64_STORAGE,Component,HAS_COMPONENT
65,Laptop,ASUS,Brand,BELONGS_TO
65,Laptop,ETUDES,Usage,SUITABLE_FOR
65,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
65,Laptop,65_CPU,Component,HAS_COMPONENT
65,Laptop,65_GPU,Component,HAS_COMPONENT
65,Laptop,65_RAM,Component,HAS_COMPONENT
65,Laptop,65_STORAGE,Component,HAS_COMPONENT
66,Laptop,DELL,Brand,BELONGS_TO
66,Laptop,ETUDES,Usage,SUITABLE_FOR
66,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
66,Laptop,66_CPU,Component,HAS_COMPONENT
66,Laptop,66_GPU,Component,HAS_COMPONENT
66,Laptop,66_RAM,Component,HAS_COMPONENT
66,Laptop,66_STORAGE,Component,HAS_COMPONENT
67,Laptop,ASUS,Brand,BELONGS_TO
67,Laptop,ETUDES,Usage,SUITABLE_FOR
67,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
67,Laptop,67_CPU,Component,HAS_COMPONENT
67,Laptop,67_GPU,Component,HAS_COMPONENT
67,Laptop,67_RAM,Component,HAS_COMPONENT
67,Laptop,67_STORAGE,Component,HAS_COMPONENT
68,Laptop,ASUS,Brand,BELONGS_TO
68,Laptop,GAMING,Usage,SUITABLE_FOR
68,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
68,Laptop,68_CPU,Component,HAS_COMPONENT
68,Laptop,68_GPU,Component,HAS_COMPONENT
68,Laptop,68_RAM,Component,HAS_COMPONENT
68,Laptop,68_STORAGE,Component,HAS_COMPONENT
69,Laptop,DELL,Brand,BELONGS_TO
69,Laptop,DEVELOPPEMENT,Usage,SUITABLE_FOR
69,Laptop,eco_B,Eco_Class,HAS_ECO_CLASS
69,Laptop,69_CPU,Component,HAS_COMPONENT
69,Laptop,69_GPU,Component,HAS_COMPONENT
69,Laptop,69_RAM,Component,HAS_COMPONENT
69,Laptop,69_STORAGE,Component,HAS_COMPONENT
70,Laptop,DELL,Brand,BELONGS_TO
70,Laptop,GAMING,Usage,SUITABLE_FOR
70,Laptop,eco_C,Eco_Class,HAS_ECO_CLASS
70,Laptop,70_CPU,Component,HAS_COMPONENT
70,Laptop,70_GPU,Component,HAS_COMPONENT
70,Laptop,70_RAM,Component,HAS_COMPONENT
70,Laptop,70_STORAGE,Component,HAS_COMPONENT
71,Laptop,ASUS,Brand,BELONGS_TO
